No,Penalty Calculation Strategy,Penalty Selection Strategy,Penalty TieBreaker Strategy,Cell Selection Strategy,Cell TieBreaker Strategy,Akurasi (Normal)
1134,Min Max,Min Penalty,All Penalties,MinSC,Min Allocation,0
1135,Min Max,Min Penalty,All Penalties,MinSC,Max Allocation,0
1136,Min Max,Min Penalty,All Penalties,MinSC,Min Top-Bottom Sum,0
1137,Min Max,Min Penalty,All Penalties,MinSC,Max Top-Bottom Sum,0
1138,Min Max,Min Penalty,All Penalties,MinSC,Min Supply and Demand,0
1139,Min Max,Min Penalty,All Penalties,MinSC,Max Supply and Demand,0
1140,Min Max,Min Penalty,All Penalties,MinSC,Min Demand,0
1141,Min Max,Two Max,All Penalties,MinSC,Index,0
1142,Min Max,Two Max,All Penalties,MinSC,Min Top-Bottom Sum,0
1143,Min Max,Two Max,All Penalties,MinSC,Max Top-Bottom Sum,0
1144,Min Max,Two Max,All Penalties,MinSC,Min Supply and Demand,0
1145,Min Max,Two Max,All Penalties,MinSC,Max Supply and Demand,0
1146,Min Max,Two Max,All Penalties,MinSC,Min Demand,0
1147,Min Max,Two Max,All Penalties,MinSC,Max Demand,0
1148,Min Max,Two Max,All Penalties,MinSC,Min Supply,0
1149,Min Max,Two Max,All Penalties,MinSC,Max Supply,0
1150,Min Max,Min Penalty,All Penalties,MinSC,Max Demand,0
1151,Min Max,Min Penalty,All Penalties,MaxSC,Min Supply Demand Mult,0
1152,Min Max,Min Penalty,All Penalties,MaxSC,Max Supply Demand Mult,0
1153,Min Max,Min Penalty,All Penalties,MaxSC,Min Cost Allocation,0
1154,Min Max,Min Penalty,All Penalties,MaxSC,Max Cost Allocation,0
1155,Min Max,Min Penalty,All Penalties,MaxSC,Min Allocation,0
1156,Min Max,Min Penalty,All Penalties,MaxSC,Max Allocation,0
1157,Min Max,Min Penalty,All Penalties,MaxSC,Min Top-Bottom Sum,0
1158,Min Max,Min Penalty,All Penalties,MaxSC,Max Top-Bottom Sum,0
1159,Min Max,Max Penalty,All Penalties,MaxSC,Max Demand,0
1160,Min Max,Max Penalty,All Penalties,MaxSC,Max Cost Allocation,0
1161,Min Max,Max Penalty,All Penalties,MaxSC,Min Allocation,0
1162,Min Max,Max Penalty,All Penalties,MaxSC,Max Allocation,0
1163,Min Max,Max Penalty,All Penalties,MaxSC,Min Top-Bottom Sum,0
1164,Min Max,Max Penalty,All Penalties,MaxSC,Max Top-Bottom Sum,0
1165,Min Max,Max Penalty,All Penalties,MaxSC,Min Supply and Demand,0
1166,Min Max,Max Penalty,All Penalties,MaxSC,Max Supply and Demand,0
1167,Min Max,Max Penalty,All Penalties,MaxSC,Min Demand,0
1168,Min Max,Max Penalty,All Penalties,MaxSC,Min Cost Allocation,0
1169,Min Max,Max Penalty,All Penalties,MaxSC,Min Supply,0
1170,Min Max,Max Penalty,All Penalties,MaxSC,Max Supply,0
1171,Min Max,Max Penalty,All Penalties,MaxSC,Index,0
1172,Min Max,Max Penalty,All Penalties,MinSC,Min Supply Demand Mult,0
1173,Min Max,Max Penalty,All Penalties,MinSC,Max Supply Demand Mult,0
1174,Min Max,Max Penalty,All Penalties,MinSC,Min Cost Allocation,0
1175,Min Max,Max Penalty,All Penalties,MinSC,Max Cost Allocation,0
1176,Min Max,Max Penalty,All Penalties,MinSC,Min Allocation,0
1177,Min Max,Min Penalty,All Penalties,MinCost,Min Supply and Demand,0
1178,Min Max,Min Penalty,All Penalties,MinSC,Min Supply,0
1179,Min Max,Min Penalty,All Penalties,MinSC,Max Supply,0
1180,Min Max,Min Penalty,All Penalties,MinSC,Index,0
1181,Min Max,Min Penalty,All Penalties,MinCost,Min Supply Demand Mult,0
1182,Min Max,Min Penalty,All Penalties,MinCost,Min Cost Allocation,0
1183,Min Max,Min Penalty,All Penalties,MinCost,Min Allocation,0
1184,Min Max,Min Penalty,All Penalties,MinCost,Min Top-Bottom Sum,0
1185,Min Max,Min Penalty,All Penalties,MinCost,Max Top-Bottom Sum,0
1186,Two Max,Min Penalty,All Penalties,MinCost,Min Cost Allocation,0
1187,Min Max,Min Penalty,All Penalties,MinCost,Max Supply and Demand,0
1188,Min Max,Min Penalty,All Penalties,MinCost,Min Demand,0
1189,Min Max,Min Penalty,All Penalties,MinCost,Max Demand,0
1190,Min Max,Min Penalty,All Penalties,MinCost,Min Supply,0
1191,Min Max,Min Penalty,All Penalties,MinCost,Index,0
1192,Min Max,Max Penalty,All Penalties,MaxSC,Min Supply Demand Mult,0
1193,Min Max,Max Penalty,All Penalties,MaxSC,Max Supply Demand Mult,0
1194,Two Min,Min Penalty,All Penalties,MinSC,Min Demand,0
1195,Two Min,Min Penalty,All Penalties,MinSC,Min Cost Allocation,0
1196,Two Min,Min Penalty,All Penalties,MinSC,Max Cost Allocation,0
1197,Two Min,Min Penalty,All Penalties,MinSC,Min Allocation,0
1198,Two Min,Min Penalty,All Penalties,MinSC,Max Allocation,0
1199,Two Min,Min Penalty,All Penalties,MinSC,Min Top-Bottom Sum,0
1200,Two Min,Min Penalty,All Penalties,MinSC,Max Top-Bottom Sum,0
1201,Two Min,Min Penalty,All Penalties,MinSC,Min Supply and Demand,0
1202,Two Min,Min Penalty,All Penalties,MinSC,Max Supply and Demand,0
1203,Two Min,Min Penalty,All Penalties,MinSC,Max Supply Demand Mult,0
1204,Two Min,Min Penalty,All Penalties,MinSC,Max Demand,0
1205,Two Min,Min Penalty,All Penalties,MinSC,Min Supply,0
1206,Two Min,Min Penalty,All Penalties,MinSC,Max Supply,0
1207,Two Min,Min Penalty,All Penalties,MinSC,Index,0
1208,Two Min,Min Penalty,All Penalties,MinCost,Min Supply Demand Mult,0
1209,Two Min,Min Penalty,All Penalties,MinCost,Min Cost Allocation,0
1210,Two Min,Min Penalty,All Penalties,MinCost,Min Allocation,0
1211,Two Min,Min Penalty,All Penalties,MinCost,Max Top-Bottom Sum,0
1212,Two Min,Min Penalty,All Penalties,MaxSC,Max Top-Bottom Sum,0
1213,Two Min,Two Max,All Penalties,MinSC,Index,0
1214,Two Min,Min Penalty,All Penalties,MaxSC,Min Supply Demand Mult,0
1215,Two Min,Min Penalty,All Penalties,MaxSC,Max Supply Demand Mult,0
1216,Two Min,Min Penalty,All Penalties,MaxSC,Min Cost Allocation,0
1217,Two Min,Min Penalty,All Penalties,MaxSC,Max Cost Allocation,0
1218,Two Min,Min Penalty,All Penalties,MaxSC,Min Allocation,0
1219,Two Min,Min Penalty,All Penalties,MaxSC,Max Allocation,0
1220,Two Min,Min Penalty,All Penalties,MaxSC,Min Top-Bottom Sum,0
1221,Two Min,Min Penalty,All Penalties,MinCost,Min Supply and Demand,0
1222,Two Min,Min Penalty,All Penalties,MaxSC,Min Supply and Demand,0
1223,Two Min,Min Penalty,All Penalties,MaxSC,Max Supply and Demand,0
1224,Two Min,Min Penalty,All Penalties,MaxSC,Min Demand,0
1225,Two Min,Min Penalty,All Penalties,MaxSC,Max Demand,0
1226,Two Min,Min Penalty,All Penalties,MaxSC,Min Supply,0
1227,Two Min,Min Penalty,All Penalties,MaxSC,Max Supply,0
1228,Two Min,Min Penalty,All Penalties,MaxSC,Index,0
1229,Two Min,Min Penalty,All Penalties,MinSC,Min Supply Demand Mult,0
1230,Two Min,Max Penalty,All Penalties,MinSC,Min Top-Bottom Sum,0
1231,Two Min,Max Penalty,All Penalties,MaxSC,Max Supply,0
1232,Two Min,Max Penalty,All Penalties,MaxSC,Index,0
1233,Two Min,Max Penalty,All Penalties,MinSC,Min Supply Demand Mult,0
1234,Two Min,Max Penalty,All Penalties,MinSC,Max Supply Demand Mult,0
1235,Two Min,Max Penalty,All Penalties,MinSC,Min Cost Allocation,0
1236,Two Min,Max Penalty,All Penalties,MinSC,Max Cost Allocation,0
1237,Two Min,Max Penalty,All Penalties,MinSC,Min Allocation,0
1238,Two Min,Max Penalty,All Penalties,MinSC,Max Allocation,0
1239,Two Min,Max Penalty,All Penalties,MaxSC,Min Supply,0
1240,Two Min,Max Penalty,All Penalties,MinSC,Max Top-Bottom Sum,0
1241,Two Min,Max Penalty,All Penalties,MinSC,Min Supply and Demand,0
1242,Two Min,Max Penalty,All Penalties,MinSC,Max Supply and Demand,0
1243,Two Min,Max Penalty,All Penalties,MinSC,Min Demand,0
1244,Two Min,Max Penalty,All Penalties,MinSC,Max Demand,0
1245,Two Min,Max Penalty,All Penalties,MinSC,Min Supply,0
1246,Two Min,Max Penalty,All Penalties,MinSC,Max Supply,0
1247,Two Min,Max Penalty,All Penalties,MinSC,Index,0
1248,Two Min,Max Penalty,All Penalties,MaxSC,Min Allocation,0
1249,Two Min,Min Penalty,All Penalties,MinCost,Min Demand,0
1250,Two Min,Min Penalty,All Penalties,MinCost,Min Supply,0
1251,Two Min,Min Penalty,All Penalties,MinCost,Max Supply,0
1252,Two Min,Min Penalty,All Penalties,MinCost,Index,0
1253,Two Min,Max Penalty,All Penalties,MaxSC,Min Supply Demand Mult,0
1254,Two Min,Max Penalty,All Penalties,MaxSC,Max Supply Demand Mult,0
1255,Two Min,Max Penalty,All Penalties,MaxSC,Min Cost Allocation,0
1256,Two Min,Max Penalty,All Penalties,MaxSC,Max Cost Allocation,0
1257,Two Min,Two Max,All Penalties,MinSC,Max Supply,0
1258,Two Min,Max Penalty,All Penalties,MaxSC,Max Allocation,0
1259,Two Min,Max Penalty,All Penalties,MaxSC,Min Top-Bottom Sum,0
1260,Two Min,Max Penalty,All Penalties,MaxSC,Max Top-Bottom Sum,0
1261,Two Min,Max Penalty,All Penalties,MaxSC,Min Supply and Demand,0
1262,Two Min,Max Penalty,All Penalties,MaxSC,Max Supply and Demand,0
1263,Two Min,Max Penalty,All Penalties,MaxSC,Min Demand,0
1264,Two Min,Max Penalty,All Penalties,MaxSC,Max Demand,0
1265,Two Max,Max Penalty,All Penalties,MaxSC,Index,0
1266,Two Max,Max Penalty,All Penalties,MaxSC,Min Top-Bottom Sum,0
1267,Two Max,Max Penalty,All Penalties,MaxSC,Max Top-Bottom Sum,0
1268,Two Max,Max Penalty,All Penalties,MaxSC,Min Supply and Demand,0
1269,Two Max,Max Penalty,All Penalties,MaxSC,Max Supply and Demand,0
1270,Two Max,Max Penalty,All Penalties,MaxSC,Min Demand,0
1271,Two Max,Max Penalty,All Penalties,MaxSC,Max Demand,0
1272,Two Max,Max Penalty,All Penalties,MaxSC,Min Supply,0
1273,Two Max,Max Penalty,All Penalties,MaxSC,Max Supply,0
1274,Two Max,Max Penalty,All Penalties,MaxSC,Max Allocation,0
1275,Two Max,Max Penalty,All Penalties,MinSC,Min Supply Demand Mult,0
1276,Two Max,Max Penalty,All Penalties,MinSC,Max Supply Demand Mult,0
1277,Two Max,Max Penalty,All Penalties,MinSC,Min Cost Allocation,0
1278,Two Max,Max Penalty,All Penalties,MinSC,Max Cost Allocation,0
1279,Two Max,Max Penalty,All Penalties,MinSC,Min Allocation,0
1280,Two Max,Max Penalty,All Penalties,MinSC,Max Allocation,0
1281,Two Max,Max Penalty,All Penalties,MinSC,Min Top-Bottom Sum,0
1282,Two Max,Max Penalty,All Penalties,MinSC,Max Top-Bottom Sum,0
1283,Two Max,Min Penalty,All Penalties,MinCost,Max Demand,0
1284,Two Max,Min Penalty,All Penalties,MinCost,Max Cost Allocation,0
1285,Two Max,Min Penalty,All Penalties,MinCost,Min Allocation,0
1286,Two Max,Min Penalty,All Penalties,MinCost,Max Allocation,0
1287,Two Max,Min Penalty,All Penalties,MinCost,Min Top-Bottom Sum,0
1288,Two Max,Min Penalty,All Penalties,MinCost,Max Top-Bottom Sum,0
1289,Two Max,Min Penalty,All Penalties,MinCost,Min Supply and Demand,0
1290,Two Max,Min Penalty,All Penalties,MinCost,Max Supply and Demand,0
1291,Two Max,Min Penalty,All Penalties,MinCost,Min Demand,0
1292,Two Max,Max Penalty,All Penalties,MinSC,Min Supply and Demand,0
1293,Two Max,Min Penalty,All Penalties,MinCost,Min Supply,0
1294,Two Max,Min Penalty,All Penalties,MinCost,Max Supply,0
1295,Two Max,Min Penalty,All Penalties,MinCost,Index,0
1296,Two Max,Max Penalty,All Penalties,MaxSC,Min Supply Demand Mult,0
1297,Two Max,Max Penalty,All Penalties,MaxSC,Max Supply Demand Mult,0
1298,Two Max,Max Penalty,All Penalties,MaxSC,Min Cost Allocation,0
1299,Two Max,Max Penalty,All Penalties,MaxSC,Max Cost Allocation,0
1300,Two Max,Max Penalty,All Penalties,MaxSC,Min Allocation,0
1301,Two Min,Two Max,All Penalties,MinSC,Min Allocation,0
1302,Two Min,Two Max,All Penalties,MaxSC,Max Demand,0
1303,Two Min,Two Max,All Penalties,MaxSC,Min Supply,0
1304,Two Min,Two Max,All Penalties,MaxSC,Max Supply,0
1305,Two Min,Two Max,All Penalties,MaxSC,Index,0
1306,Two Min,Two Max,All Penalties,MinSC,Min Supply Demand Mult,0
1307,Two Min,Two Max,All Penalties,MinSC,Max Supply Demand Mult,0
1308,Two Min,Two Max,All Penalties,MinSC,Min Cost Allocation,0
1309,Two Min,Two Max,All Penalties,MinSC,Max Cost Allocation,0
1310,Two Min,Two Max,All Penalties,MaxSC,Min Demand,0
1311,Two Min,Two Max,All Penalties,MinSC,Max Allocation,0
1312,Two Min,Two Max,All Penalties,MinSC,Min Top-Bottom Sum,0
1313,Two Min,Two Max,All Penalties,MinSC,Max Top-Bottom Sum,0
1314,Two Min,Two Max,All Penalties,MinSC,Min Supply and Demand,0
1315,Two Min,Two Max,All Penalties,MinSC,Max Supply and Demand,0
1316,Two Min,Two Max,All Penalties,MinSC,Min Demand,0
1317,Two Min,Two Max,All Penalties,MinSC,Max Demand,0
1318,Two Min,Two Max,All Penalties,MinSC,Min Supply,0
1319,Two Min,Two Max,All Penalties,MaxSC,Min Cost Allocation,0
1320,Two Max,Max Penalty,All Penalties,MinSC,Max Supply and Demand,0
1321,Two Max,Max Penalty,All Penalties,MinSC,Min Demand,0
1322,Two Max,Max Penalty,All Penalties,MinSC,Max Demand,0
1323,Two Max,Max Penalty,All Penalties,MinSC,Min Supply,0
1324,Two Max,Max Penalty,All Penalties,MinSC,Max Supply,0
1325,Two Max,Max Penalty,All Penalties,MinSC,Index,0
1326,Two Min,Two Max,All Penalties,MaxSC,Min Supply Demand Mult,0
1327,Two Min,Two Max,All Penalties,MaxSC,Max Supply Demand Mult,0
1328,Min Max,Two Max,All Penalties,MinSC,Max Allocation,0
1329,Two Min,Two Max,All Penalties,MaxSC,Max Cost Allocation,0
1330,Two Min,Two Max,All Penalties,MaxSC,Min Allocation,0
1331,Two Min,Two Max,All Penalties,MaxSC,Max Allocation,0
1332,Two Min,Two Max,All Penalties,MaxSC,Min Top-Bottom Sum,0
1333,Two Min,Two Max,All Penalties,MaxSC,Max Top-Bottom Sum,0
1334,Two Min,Two Max,All Penalties,MaxSC,Min Supply and Demand,0
1335,Two Min,Two Max,All Penalties,MaxSC,Max Supply and Demand,0
1336,Two Max,Two Max,Max Total Cost,MaxSC,Max Supply,0
1337,Two Max,Two Max,Max Total Cost,MaxSC,Max Allocation,0
1338,Two Max,Two Max,Max Total Cost,MaxSC,Min Top-Bottom Sum,0
1339,Two Max,Two Max,Max Total Cost,MaxSC,Max Top-Bottom Sum,0
1340,Two Max,Two Max,Max Total Cost,MaxSC,Min Supply and Demand,0
1341,Two Max,Two Max,Max Total Cost,MaxSC,Max Supply and Demand,0
1342,Two Max,Two Max,Max Total Cost,MaxSC,Min Demand,0
1343,Two Max,Two Max,Max Total Cost,MaxSC,Max Demand,0
1344,Two Max,Two Max,Max Total Cost,MaxSC,Min Supply,0
1345,Two Max,Two Max,Max Total Cost,MaxSC,Min Allocation,0
1346,Two Max,Two Max,Max Total Cost,MaxSC,Index,0
1347,Two Max,Two Max,Max Total Cost,MinSC,Min Supply Demand Mult,0
1348,Two Max,Two Max,Max Total Cost,MinSC,Max Supply Demand Mult,0
1349,Two Max,Two Max,Max Total Cost,MinSC,Min Cost Allocation,0
1350,Two Max,Two Max,Max Total Cost,MinSC,Max Cost Allocation,0
1351,Two Max,Two Max,Max Total Cost,MinSC,Min Allocation,0
1352,Two Max,Two Max,Max Total Cost,MinSC,Max Allocation,0
1353,Two Max,Two Max,Max Total Cost,MinSC,Min Top-Bottom Sum,0
1354,Min Max,Max Penalty,Max Total Cost,MinSC,Min Demand,0
1355,Min Max,Max Penalty,Max Total Cost,MinSC,Min Cost Allocation,0
1356,Min Max,Max Penalty,Max Total Cost,MinSC,Max Cost Allocation,0
1357,Min Max,Max Penalty,Max Total Cost,MinSC,Min Allocation,0
1358,Min Max,Max Penalty,Max Total Cost,MinSC,Max Allocation,0
1359,Min Max,Max Penalty,Max Total Cost,MinSC,Min Top-Bottom Sum,0
1360,Min Max,Max Penalty,Max Total Cost,MinSC,Max Top-Bottom Sum,0
1361,Min Max,Max Penalty,Max Total Cost,MinSC,Min Supply and Demand,0
1362,Min Max,Max Penalty,Max Total Cost,MinSC,Max Supply and Demand,0
1363,Two Max,Two Max,Max Total Cost,MinSC,Max Top-Bottom Sum,0
1364,Min Max,Max Penalty,Max Total Cost,MinSC,Max Demand,0
1365,Min Max,Max Penalty,Max Total Cost,MinSC,Min Supply,0
1366,Min Max,Max Penalty,Max Total Cost,MinSC,Max Supply,0
1367,Min Max,Max Penalty,Max Total Cost,MinSC,Index,0
1368,Two Max,Two Max,Max Total Cost,MaxSC,Min Supply Demand Mult,0
1369,Two Max,Two Max,Max Total Cost,MaxSC,Max Supply Demand Mult,0
1370,Two Max,Two Max,Max Total Cost,MaxSC,Min Cost Allocation,0
1371,Two Max,Two Max,Max Total Cost,MaxSC,Max Cost Allocation,0
1372,Two Max,Min Penalty,Max Total Cost,MinSC,Min Allocation,0
1373,Two Max,Min Penalty,Max Total Cost,MaxSC,Max Demand,0
1374,Two Max,Min Penalty,Max Total Cost,MaxSC,Min Supply,0
1375,Two Max,Min Penalty,Max Total Cost,MaxSC,Max Supply,0
1376,Two Max,Min Penalty,Max Total Cost,MaxSC,Index,0
1377,Two Max,Min Penalty,Max Total Cost,MinSC,Min Supply Demand Mult,0
1378,Two Max,Min Penalty,Max Total Cost,MinSC,Max Supply Demand Mult,0
1379,Two Max,Min Penalty,Max Total Cost,MinSC,Min Cost Allocation,0
1380,Two Max,Min Penalty,Max Total Cost,MinSC,Max Cost Allocation,0
1381,Two Max,Min Penalty,Max Total Cost,MaxSC,Min Demand,0
1382,Two Max,Min Penalty,Max Total Cost,MinSC,Max Allocation,0
1383,Two Max,Min Penalty,Max Total Cost,MinSC,Min Top-Bottom Sum,0
1384,Two Max,Min Penalty,Max Total Cost,MinSC,Max Top-Bottom Sum,0
1385,Two Max,Min Penalty,Max Total Cost,MinSC,Min Supply and Demand,0
1386,Two Max,Min Penalty,Max Total Cost,MinSC,Max Supply and Demand,0
1387,Two Max,Min Penalty,Max Total Cost,MinSC,Min Demand,0
1388,Two Max,Min Penalty,Max Total Cost,MinSC,Max Demand,0
1389,Two Max,Min Penalty,Max Total Cost,MinSC,Min Supply,0
1390,Two Max,Min Penalty,Max Total Cost,MaxSC,Max Supply Demand Mult,0
1391,Two Max,Two Max,Max Total Cost,MinSC,Min Supply and Demand,0
1392,Two Max,Two Max,Max Total Cost,MinSC,Max Supply and Demand,0
1393,Two Max,Two Max,Max Total Cost,MinSC,Min Demand,0
1394,Two Max,Two Max,Max Total Cost,MinSC,Max Demand,0
1395,Two Max,Two Max,Max Total Cost,MinSC,Min Supply,0
1396,Two Max,Two Max,Max Total Cost,MinSC,Max Supply,0
1397,Two Max,Two Max,Max Total Cost,MinSC,Index,0
1398,Two Max,Min Penalty,Max Total Cost,MaxSC,Min Supply Demand Mult,0
1399,Min Max,Max Penalty,Max Total Cost,MinSC,Max Supply Demand Mult,0
1400,Two Max,Min Penalty,Max Total Cost,MaxSC,Min Cost Allocation,0
1401,Two Max,Min Penalty,Max Total Cost,MaxSC,Max Cost Allocation,0
1402,Two Max,Min Penalty,Max Total Cost,MaxSC,Min Allocation,0
1403,Two Max,Min Penalty,Max Total Cost,MaxSC,Max Allocation,0
1404,Two Max,Min Penalty,Max Total Cost,MaxSC,Min Top-Bottom Sum,0
1405,Two Max,Min Penalty,Max Total Cost,MaxSC,Max Top-Bottom Sum,0
1406,Two Max,Min Penalty,Max Total Cost,MaxSC,Min Supply and Demand,0
1407,Two Max,Min Penalty,Max Total Cost,MaxSC,Max Supply and Demand,0
1408,Min Max,Min Penalty,Max Total Cost,MinSC,Max Demand,0
1409,Min Max,Min Penalty,Max Total Cost,MinSC,Max Cost Allocation,0
1410,Min Max,Min Penalty,Max Total Cost,MinSC,Min Allocation,0
1411,Min Max,Min Penalty,Max Total Cost,MinSC,Max Allocation,0
1412,Min Max,Min Penalty,Max Total Cost,MinSC,Min Top-Bottom Sum,0
1413,Min Max,Min Penalty,Max Total Cost,MinSC,Max Top-Bottom Sum,0
1414,Min Max,Min Penalty,Max Total Cost,MinSC,Min Supply and Demand,0
1415,Min Max,Min Penalty,Max Total Cost,MinSC,Max Supply and Demand,0
1416,Min Max,Min Penalty,Max Total Cost,MinSC,Min Demand,0
1417,Min Max,Min Penalty,Max Total Cost,MinSC,Min Cost Allocation,0
1418,Min Max,Min Penalty,Max Total Cost,MinSC,Min Supply,0
1419,Min Max,Min Penalty,Max Total Cost,MinSC,Max Supply,0
1420,Min Max,Min Penalty,Max Total Cost,MinSC,Index,0
1421,Min Max,Min Penalty,Max Total Cost,MinCA,Max Supply Demand Mult,0
1422,Min Max,Min Penalty,Max Total Cost,MinCA,Min Cost Allocation,0
1423,Min Max,Min Penalty,Max Total Cost,MinCA,Max Cost Allocation,0
1424,Min Max,Min Penalty,Max Total Cost,MinCA,Min Allocation,0
1425,Min Max,Min Penalty,Max Total Cost,MinCA,Max Allocation,0
1426,Min Max,Min Penalty,Max Total Cost,MaxSC,Min Supply and Demand,0
1427,Min Max,Min Penalty,Max Total Cost,MaxSC,Min Supply Demand Mult,0
1428,Min Max,Min Penalty,Max Total Cost,MaxSC,Max Supply Demand Mult,0
1429,Min Max,Min Penalty,Max Total Cost,MaxSC,Min Cost Allocation,0
1430,Min Max,Min Penalty,Max Total Cost,MaxSC,Max Cost Allocation,0
1431,Min Max,Min Penalty,Max Total Cost,MaxSC,Min Allocation,0
1432,Min Max,Min Penalty,Max Total Cost,MaxSC,Max Allocation,0
1433,Min Max,Min Penalty,Max Total Cost,MaxSC,Min Top-Bottom Sum,0
1434,Min Max,Min Penalty,Max Total Cost,MaxSC,Max Top-Bottom Sum,0
1435,Min Max,Min Penalty,Max Total Cost,MinCA,Max Top-Bottom Sum,0
1436,Min Max,Min Penalty,Max Total Cost,MaxSC,Max Supply and Demand,0
1437,Min Max,Min Penalty,Max Total Cost,MaxSC,Min Demand,0
1438,Min Max,Min Penalty,Max Total Cost,MaxSC,Max Demand,0
1439,Min Max,Min Penalty,Max Total Cost,MaxSC,Min Supply,0
1440,Min Max,Min Penalty,Max Total Cost,MaxSC,Max Supply,0
1441,Min Max,Min Penalty,Max Total Cost,MaxSC,Index,0
1442,Min Max,Min Penalty,Max Total Cost,MinSC,Min Supply Demand Mult,0
1443,Min Max,Min Penalty,Max Total Cost,MinSC,Max Supply Demand Mult,0
1444,Min Max,Max Penalty,Max Total Cost,MaxSC,Max Top-Bottom Sum,0
1445,Min Max,Min Penalty,Max Total Cost,MinCost,Index,0
1446,Min Max,Max Penalty,Max Total Cost,MaxSC,Min Supply Demand Mult,0
1447,Min Max,Max Penalty,Max Total Cost,MaxSC,Max Supply Demand Mult,0
1448,Min Max,Max Penalty,Max Total Cost,MaxSC,Min Cost Allocation,0
1449,Min Max,Max Penalty,Max Total Cost,MaxSC,Max Cost Allocation,0
1450,Min Max,Max Penalty,Max Total Cost,MaxSC,Min Allocation,0
1451,Min Max,Max Penalty,Max Total Cost,MaxSC,Max Allocation,0
1452,Min Max,Max Penalty,Max Total Cost,MaxSC,Min Top-Bottom Sum,0
1453,Min Max,Min Penalty,Max Total Cost,MinCost,Max Supply,0
1454,Min Max,Max Penalty,Max Total Cost,MaxSC,Min Supply and Demand,0
1455,Min Max,Max Penalty,Max Total Cost,MaxSC,Max Supply and Demand,0
1456,Min Max,Max Penalty,Max Total Cost,MaxSC,Min Demand,0
1457,Min Max,Max Penalty,Max Total Cost,MaxSC,Max Demand,0
1458,Min Max,Max Penalty,Max Total Cost,MaxSC,Min Supply,0
1459,Min Max,Max Penalty,Max Total Cost,MaxSC,Max Supply,0
1460,Min Max,Max Penalty,Max Total Cost,MaxSC,Index,0
1461,Min Max,Max Penalty,Max Total Cost,MinSC,Min Supply Demand Mult,0
1462,Min Max,Min Penalty,Max Total Cost,MinCost,Max Cost Allocation,0
1463,Min Max,Min Penalty,Max Total Cost,MinCA,Min Supply and Demand,0
1464,Min Max,Min Penalty,Max Total Cost,MinCA,Max Supply and Demand,0
1465,Min Max,Min Penalty,Max Total Cost,MinCA,Min Demand,0
1466,Min Max,Min Penalty,Max Total Cost,MinCA,Max Demand,0
1467,Min Max,Min Penalty,Max Total Cost,MinCA,Max Supply,0
1468,Min Max,Min Penalty,Max Total Cost,MinCA,Index,0
1469,Min Max,Min Penalty,Max Total Cost,MinCost,Max Supply Demand Mult,0
1470,Min Max,Min Penalty,Max Total Cost,MinCost,Min Cost Allocation,0
1471,Two Max,Min Penalty,Max Total Cost,MinSC,Max Supply,0
1472,Min Max,Min Penalty,Max Total Cost,MinCost,Min Allocation,0
1473,Min Max,Min Penalty,Max Total Cost,MinCost,Max Allocation,0
1474,Min Max,Min Penalty,Max Total Cost,MinCost,Max Top-Bottom Sum,0
1475,Min Max,Min Penalty,Max Total Cost,MinCost,Min Supply and Demand,0
1476,Min Max,Min Penalty,Max Total Cost,MinCost,Max Supply and Demand,0
1477,Min Max,Min Penalty,Max Total Cost,MinCost,Min Demand,0
1478,Min Max,Min Penalty,Max Total Cost,MinCost,Max Demand,0
1479,Two Min,Max Penalty,Max Total Cost,MaxSC,Min Top-Bottom Sum,0
1480,Two Min,Min Penalty,Max Total Cost,MinSC,Max Supply,0
1481,Two Min,Min Penalty,Max Total Cost,MinSC,Index,0
1482,Two Min,Max Penalty,Max Total Cost,MaxSC,Min Supply Demand Mult,0
1483,Two Min,Max Penalty,Max Total Cost,MaxSC,Max Supply Demand Mult,0
1484,Two Min,Max Penalty,Max Total Cost,MaxSC,Min Cost Allocation,0
1485,Two Min,Max Penalty,Max Total Cost,MaxSC,Max Cost Allocation,0
1486,Two Min,Max Penalty,Max Total Cost,MaxSC,Min Allocation,0
1487,Two Min,Max Penalty,Max Total Cost,MaxSC,Max Allocation,0
1488,Two Min,Min Penalty,Max Total Cost,MinSC,Min Supply,0
1489,Two Min,Max Penalty,Max Total Cost,MaxSC,Max Top-Bottom Sum,0
1490,Two Min,Max Penalty,Max Total Cost,MaxSC,Min Supply and Demand,0
1491,Two Min,Max Penalty,Max Total Cost,MaxSC,Max Supply and Demand,0
1492,Two Min,Max Penalty,Max Total Cost,MaxSC,Min Demand,0
1493,Two Min,Max Penalty,Max Total Cost,MaxSC,Max Demand,0
1494,Two Min,Max Penalty,Max Total Cost,MaxSC,Min Supply,0
1495,Two Min,Max Penalty,Max Total Cost,MaxSC,Max Supply,0
1496,Two Min,Max Penalty,Max Total Cost,MaxSC,Index,0
1497,Two Min,Min Penalty,Max Total Cost,MinSC,Max Cost Allocation,0
1498,Two Min,Min Penalty,Max Total Cost,MaxSC,Min Demand,0
1499,Two Min,Min Penalty,Max Total Cost,MaxSC,Max Demand,0
1500,Two Min,Min Penalty,Max Total Cost,MaxSC,Min Supply,0
1501,Two Min,Min Penalty,Max Total Cost,MaxSC,Max Supply,0
1502,Two Min,Min Penalty,Max Total Cost,MaxSC,Index,0
1503,Two Min,Min Penalty,Max Total Cost,MinSC,Min Supply Demand Mult,0
